ncb,month,stock_eur_m,approx_share,portfolio_yield_pct,ref_pct,carry_eur_m_pa,key_share,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned
IT,2017-03-01,218296.88888888888,1.0,1.3136087645252303,0.0,2867.567065130348,0.160201,178.99807523862825,127.06643021677759
IT,2017-04-01,226973.3333333333,1.0,1.3352603514812407,0.0,3030.6849284353543,0.160201,189.18015046319027,135.6730654162788
IT,2017-05-01,235345.77777777775,1.0,1.3510475463812217,0.0,3179.6333561784686,0.160201,198.47774709137076,143.56002779395783
IT,2017-06-01,243632.88888888888,1.0,1.360338943537316,0.0,3314.233066820554,0.160201,206.87967408571447,151.0570540343524
IT,2017-07-01,252186.66666666666,1.0,1.3756911439480473,0.0,3469.309639551115,0.160201,216.55979922416935,159.0732335906401
IT,2017-08-01,258992.88888888888,1.0,1.383494451644255,0.0,3583.152247930948,0.160201,223.6660350391663,165.12429028378838
IT,2017-09-01,267174.2222222222,1.0,1.3909787525745572,0.0,3716.3366634674417,0.160201,231.97961707276744,172.34591040748631
IT,2017-10-01,275281.77777777775,1.0,1.3957779841295948,0.0,3842.322448542777,0.160201,239.8438491983681,179.18637251172566
IT,2017-11-01,283350.2222222222,1.0,1.3893764741675103,0.0,3936.8013270569163,0.160201,245.74137034456191,184.55222850549833
IT,2017-12-01,290424.0,1.0,1.3853156719487516,0.0,4023.289187100442,0.160201,251.14007946894478,189.35476325570843
IT,2018-01-01,293464.8888888889,1.0,1.3870552959274847,0.0,4070.5202830210415,0.160201,254.08831923777265,191.7410612302424
IT,2018-02-01,296698.6666666666,1.0,1.3905270833651173,0.0,4125.6753159831915,0.160201,257.53118369942706,194.22560094506773
IT,2018-03-01,299740.44444444444,1.0,1.3917596186246635,0.0,4171.666466463871,0.160201,260.40202411120225,196.3019864090214
IT,2018-04-01,303270.2222222222,1.0,1.388987642789914,0.0,4212.3859109281775,0.160201,262.9437962889231,198.157349877932
IT,2018-05-01,306478.2222222222,1.0,1.3945893488208696,0.0,4274.112643566666,0.160201,266.7968766466293,201.16545245396
IT,2018-06-01,309987.55555555556,1.0,1.4125809126693714,0.0,4378.825041428141,0.160201,273.3331902689834,206.69321907030988
IT,2018-07-01,313604.44444444444,1.0,1.4287799266095966,0.0,4480.717351177766,0.160201,279.69346952751647,212.33011373829382
IT,2018-08-01,316802.6666666666,1.0,1.4543978079165165,0.0,4607.571039421068,0.160201,287.6118775426538,219.41492743106528
IT,2018-09-01,320029.3333333333,1.0,1.4753098498836354,0.0,4721.424277183599,0.160201,294.71877686054387,225.60841942011177
IT,2018-10-01,321587.55555555556,1.0,1.498583512666738,0.0,4819.258086343542,0.160201,300.8257180881232,230.33164351457057
IT,2018-11-01,322862.2222222222,1.0,1.5190494980974751,0.0,4904.436966213021,0.160201,306.142718598075,234.56868365453565
IT,2018-12-01,324759.11111111107,1.0,1.535549927838794,0.0,4986.838296316575,0.160201,311.2863400550917,238.52287725517402
IT,2019-01-01,327721.77777777775,1.0,1.5506224124568537,0.0,5081.727336724267,0.160201,317.20946415592084,243.85205878646215
IT,2019-02-01,327953.77777777775,1.0,1.5603933302485309,0.0,5117.368874742532,0.160201,319.4342653755303,245.97136125550944
IT,2019-03-01,329313.77777777775,1.0,1.5713952894644265,0.0,5174.821191557349,0.160201,323.02052993160777,249.3093043237734
IT,2019-04-01,329260.44444444444,1.0,1.578526041602563,0.0,5197.461860251895,0.160201,324.4337963091301,250.8238875733827
IT,2019-05-01,325766.2222222222,1.0,1.5790463828471242,0.0,5143.9997485377235,0.160201,321.0966066714767,247.9155010089234
IT,2019-06-01,326375.11111111107,1.0,1.5836642237031624,0.0,5168.685869738111,0.160201,322.63755343213285,250.15256558366426
IT,2019-07-01,328215.11111111107,1.0,1.5789663789199393,0.0,5182.406254979166,0.160201,323.49400159669204,251.68062107763564
IT,2019-08-01,326067.55555555556,1.0,1.5767637030517119,0.0,5141.314863427976,0.160201,320.92901189305786,250.4272912686551
IT,2019-09-01,325168.0,1.0,1.5684499826292586,0.0,5100.097439515908,0.160201,318.35615504996275,249.16300225864066
IT,2019-10-01,322514.6666666666,1.0,1.5655970941573296,0.0,5049.280249564531,0.160201,315.1840656153539,247.20885122694534
IT,2019-11-01,323396.44444444444,1.0,1.5574998302107663,0.0,5036.899073129877,0.160201,314.4112129843058,247.30952566520097
IT,2019-12-01,323367.11111111107,1.0,1.5520503597854616,0.0,5018.820411427852,0.160201,313.2827143043959,247.04558851313004
IT,2020-01-01,327413.3333333333,1.0,1.5390222224154086,0.0,5038.963959151036,0.160201,314.54010643822676,249.22732928726492
