month,ncb,programme,stock_eur_m,gross_purchases_eur_m,purchase_yield_pct,portfolio_yield_pct,yield_method
2022-03-01,DE,PSPP,573316.4444444444,3799.111111111124,0.11872957016308461,-0.16108835736703514,single_maturity_ea_slope
2022-04-01,DE,PSPP,583153.7777777778,9837.333333333372,0.6292294502275778,-0.1477563341360374,single_maturity_ea_slope
2022-05-01,DE,PSPP,592509.3333333333,9355.555555555504,0.810240985633035,-0.1326298261758148,single_maturity_ea_slope
2022-06-01,DE,PSPP,592650.6666666666,141.33333333337214,1.3032833428480484,-0.1322873944433123,single_maturity_ea_slope
2022-07-01,DE,PSPP,589407.1111111111,0.0,0.8555820661523763,-0.1322873944433123,single_maturity_ea_slope
2022-08-01,DE,PSPP,590478.2222222221,1071.1111111110076,0.8422247743661807,-0.13051965640888247,single_maturity_ea_slope
2022-09-01,DE,PSPP,588816.8888888889,0.0,1.6954929237284622,-0.13051965640888247,single_maturity_ea_slope
2022-10-01,DE,PSPP,591640.0,2823.111111111124,2.0200328289819853,-0.12025792864109361,single_maturity_ea_slope
2022-11-01,DE,PSPP,594044.4444444444,2404.4444444443798,1.9820064690958432,-0.1117488381190552,single_maturity_ea_slope
2022-12-01,DE,PSPP,591640.0,0.0,2.0454299375247595,-0.1117488381190552,single_maturity_ea_slope
2023-01-01,DE,PSPP,594056.0,2416.0,2.1683085390062056,-0.1024759436055167,single_maturity_ea_slope
2023-02-01,DE,PSPP,591245.3333333333,0.0,2.363836537217112,-0.1024759436055167,single_maturity_ea_slope
2023-03-01,DE,PSPP,588081.7777777778,0.0,2.3605488108424892,-0.1024759436055167,single_maturity_ea_slope
2023-04-01,DE,PSPP,579749.3333333333,0.0,2.3003661499529153,-0.1024759436055167,single_maturity_ea_slope
2023-05-01,DE,PSPP,577320.0,0.0,2.2524601726022566,-0.1024759436055167,single_maturity_ea_slope
2023-06-01,DE,PSPP,570393.7777777778,0.0,2.345092903436431,-0.1024759436055167,single_maturity_ea_slope
2023-07-01,DE,PSPP,569905.7777777778,0.0,2.452357839876833,-0.1024759436055167,single_maturity_ea_slope
2023-08-01,DE,PSPP,562519.1111111111,0.0,2.4790389646023474,-0.1024759436055167,single_maturity_ea_slope
2023-09-01,DE,PSPP,555978.6666666666,0.0,2.5923378185638573,-0.1024759436055167,single_maturity_ea_slope
2023-10-01,DE,PSPP,551072.8888888889,0.0,2.716732411337886,-0.1024759436055167,single_maturity_ea_slope
2023-11-01,DE,PSPP,548256.8888888889,0.0,2.504394374668454,-0.1024759436055167,single_maturity_ea_slope
2023-12-01,DE,PSPP,545721.7777777778,0.0,1.982794428714632,-0.1024759436055167,single_maturity_ea_slope
2024-01-01,DE,PSPP,540163.5555555555,0.0,2.022238808451364,-0.1024759436055167,single_maturity_ea_slope
2024-02-01,DE,PSPP,532980.4444444444,0.0,2.219237262033024,-0.1024759436055167,single_maturity_ea_slope
2024-03-01,DE,PSPP,529318.2222222222,0.0,2.270626262078,-0.1024759436055167,single_maturity_ea_slope
2024-04-01,DE,PSPP,519904.0,0.0,2.348864482913572,-0.1024759436055167,single_maturity_ea_slope
2024-05-01,DE,PSPP,511823.11111111107,0.0,2.4435070685555,-0.1024759436055167,single_maturity_ea_slope
2024-06-01,DE,PSPP,506376.0,0.0,2.4015578510427247,-0.1024759436055167,single_maturity_ea_slope
2024-07-01,DE,PSPP,503627.5555555555,0.0,2.350664731771913,-0.1024759436055167,single_maturity_ea_slope
2024-08-01,DE,PSPP,496682.6666666666,0.0,2.042958370091114,-0.1024759436055167,single_maturity_ea_slope
2024-09-01,DE,PSPP,493832.0,0.0,1.9752224703917625,-0.1024759436055167,single_maturity_ea_slope
2024-10-01,DE,PSPP,485064.8888888889,0.0,2.027300249630609,-0.1024759436055167,single_maturity_ea_slope
2024-11-01,DE,PSPP,483317.3333333333,0.0,2.1180164433449997,-0.1024759436055167,single_maturity_ea_slope
2024-12-01,DE,PSPP,481504.0,0.0,1.988453439435315,-0.1024759436055167,single_maturity_ea_slope
2025-01-01,DE,PSPP,477505.77777777775,0.0,2.2716176813868185,-0.1024759436055167,single_maturity_ea_slope
2025-02-01,DE,PSPP,466982.2222222222,0.0,2.1982239309983,-0.1024759436055167,single_maturity_ea_slope
2025-03-01,DE,PSPP,462533.3333333333,0.0,2.4593961546366665,-0.1024759436055167,single_maturity_ea_slope
2025-04-01,DE,PSPP,453842.6666666666,0.0,2.177597173948475,-0.1024759436055167,single_maturity_ea_slope
2025-05-01,DE,PSPP,452419.5555555555,0.0,2.2169310592699523,-0.1024759436055167,single_maturity_ea_slope
2025-06-01,DE,PSPP,448729.77777777775,0.0,2.1947716910282384,-0.1024759436055167,single_maturity_ea_slope
2025-07-01,DE,PSPP,448359.11111111107,0.0,2.2745014009638473,-0.1024759436055167,single_maturity_ea_slope
2025-08-01,DE,PSPP,439557.3333333333,0.0,2.3193304795895235,-0.1024759436055167,single_maturity_ea_slope
2025-09-01,DE,PSPP,437458.6666666666,0.0,2.3347727575549997,-0.1024759436055167,single_maturity_ea_slope
2025-10-01,DE,PSPP,429853.3333333333,0.0,2.2842337694739125,-0.1024759436055167,single_maturity_ea_slope
2025-11-01,DE,PSPP,428513.77777777775,0.0,2.3216448405671,-0.1024759436055167,single_maturity_ea_slope
2025-12-01,DE,PSPP,428439.11111111107,0.0,2.4723125431842856,-0.1024759436055167,single_maturity_ea_slope
2026-01-01,DE,PSPP,427283.5555555555,0.0,2.452735929095238,-0.1024759436055167,single_maturity_ea_slope
2026-02-01,DE,PSPP,418515.5555555555,0.0,2.3957795035027,-0.1024759436055167,single_maturity_ea_slope
2026-03-01,DE,PSPP,414468.44444444444,0.0,2.628956355105182,-0.1024759436055167,single_maturity_ea_slope
2026-04-01,DE,PSPP,400034.6666666666,0.0,2.73366048267675,-0.1024759436055167,single_maturity_ea_slope
2026-05-01,DE,PSPP,398969.77777777775,0.0,2.789659625660775,-0.1024759436055167,single_maturity_ea_slope
2026-06-01,DE,PSPP,396458.6666666666,0.0,2.7216006472728864,-0.1024759436055167,single_maturity_ea_slope
2026-07-01,DE,PSPP,395325.3333333333,0.0,2.826222237437348,-0.1024759436055167,single_maturity_ea_slope
2026-08-01,DE,PSPP,386953.77777777775,0.0,2.944405082762738,-0.1024759436055167,single_maturity_ea_slope
2020-03-01,EE,PEPP,0.0,0.0,,,missing
2020-04-01,EE,PEPP,0.0,0.0,,,missing
2020-05-01,EE,PEPP,0.0,0.0,,,missing
2020-06-01,EE,PEPP,64.897,64.897,0.06986373353175218,0.06986373353175218,single_maturity_ea_slope
2020-07-01,EE,PEPP,144.907,80.01,0.015447149362907545,0.039817766812758205,single_maturity_ea_slope
2020-08-01,EE,PEPP,164.465,19.557999999999993,-0.035194248379607884,0.03089741906015251,single_maturity_ea_slope
2020-09-01,EE,PEPP,170.688,6.222999999999985,-0.029317084627825125,0.028702098613194994,single_maturity_ea_slope
2020-10-01,EE,PEPP,170.688,0.0,-0.12095968404540551,0.028702098613194994,single_maturity_ea_slope
2020-11-01,EE,PEPP,183.13400000000001,12.446000000000026,-0.1811697095459358,0.014438966019855979,single_maturity_ea_slope
2020-12-01,EE,PEPP,183.13400000000001,0.0,-0.2210401157074972,0.014438966019855979,single_maturity_ea_slope
2021-01-01,EE,PEPP,187.579,4.444999999999993,-0.2355345533729007,0.008515422906283555,single_maturity_ea_slope
2021-02-01,EE,PEPP,221.361,33.78199999999998,-0.171266718436352,-0.018921209105845552,single_maturity_ea_slope
2021-03-01,EE,PEPP,226.695,5.334000000000003,-0.02836131929843315,-0.01914332934567114,single_maturity_ea_slope
2021-04-01,EE,PEPP,228.473,1.77800000000002,-0.00033006273477090287,-0.01899692260161744,single_maturity_ea_slope
2021-05-01,EE,PEPP,225.806,0.0,0.08282358668893466,-0.01899692260161744,single_maturity_ea_slope
2021-06-01,EE,PEPP,225.806,0.0,0.05117034337571541,-0.01899692260161744,single_maturity_ea_slope
2021-07-01,EE,PEPP,225.806,0.0,0.01703519569040665,-0.01899692260161744,single_maturity_ea_slope
2021-08-01,EE,PEPP,225.806,0.0,-0.05214924338466194,-0.01899692260161744,single_maturity_ea_slope
2021-09-01,EE,PEPP,227.584,1.7779999999999916,-0.05713904397172845,-0.01929490792482143,single_maturity_ea_slope
2021-10-01,EE,PEPP,227.584,0.0,0.08499225221410589,-0.01929490792482143,single_maturity_ea_slope
2021-11-01,EE,PEPP,227.584,0.0,0.11477711379630193,-0.01929490792482143,single_maturity_ea_slope
2021-12-01,EE,PEPP,227.584,0.0,0.03413489342753591,-0.01929490792482143,single_maturity_ea_slope
2022-01-01,EE,PEPP,227.584,0.0,0.22330229042731842,-0.01929490792482143,single_maturity_ea_slope
2022-02-01,EE,PEPP,227.584,0.0,0.7213473851162696,-0.01929490792482143,single_maturity_ea_slope
2022-03-01,EE,PEPP,227.584,0.0,1.1192950529783354,-0.01929490792482143,single_maturity_ea_slope
2022-04-01,EE,PEPP,227.584,0.0,1.4308263810549207,-0.01929490792482143,single_maturity_ea_slope
2022-05-01,EE,PEPP,227.584,0.0,1.8352651276647998,-0.01929490792482143,single_maturity_ea_slope
2022-06-01,EE,PEPP,227.584,0.0,2.3986043597227322,-0.01929490792482143,single_maturity_ea_slope
2022-07-01,EE,PEPP,227.584,0.0,2.519649360193632,-0.01929490792482143,single_maturity_ea_slope
2022-08-01,EE,PEPP,227.584,0.0,2.2589469710393466,-0.01929490792482143,single_maturity_ea_slope
2022-09-01,EE,PEPP,227.584,0.0,2.8632790746840966,-0.01929490792482143,single_maturity_ea_slope
2022-10-01,EE,PEPP,227.584,0.0,3.953139526120811,-0.01929490792482143,single_maturity_ea_slope
2022-11-01,EE,PEPP,227.584,0.0,3.6904472026603856,-0.01929490792482143,single_maturity_ea_slope
2022-12-01,EE,PEPP,227.584,0.0,3.429721850353119,-0.01929490792482143,single_maturity_ea_slope
2023-01-01,EE,PEPP,227.584,0.0,3.7690739642791664,-0.01929490792482143,single_maturity_ea_slope
2023-02-01,EE,PEPP,227.584,0.0,3.82222160549543,-0.01929490792482143,single_maturity_ea_slope
2023-03-01,EE,PEPP,227.584,0.0,3.9372849374538363,-0.01929490792482143,single_maturity_ea_slope
2023-04-01,EE,PEPP,227.584,0.0,3.834193590240387,-0.01929490792482143,single_maturity_ea_slope
2023-05-01,EE,PEPP,227.584,0.0,3.855556921122795,-0.01929490792482143,single_maturity_ea_slope
2023-06-01,EE,PEPP,227.584,0.0,3.905556121129886,-0.01929490792482143,single_maturity_ea_slope
2023-07-01,EE,PEPP,227.584,0.0,4.081525237140047,-0.01929490792482143,single_maturity_ea_slope
2023-08-01,EE,PEPP,227.584,0.0,4.0841498044400435,-0.01929490792482143,single_maturity_ea_slope
2023-09-01,EE,PEPP,227.584,0.0,4.182273897970143,-0.01929490792482143,single_maturity_ea_slope
2023-10-01,EE,PEPP,227.584,0.0,3.982207608252204,-0.01929490792482143,single_maturity_ea_slope
2023-11-01,EE,PEPP,227.584,0.0,3.571314058802454,-0.01929490792482143,single_maturity_ea_slope
2023-12-01,EE,PEPP,227.584,0.0,3.0910048612071583,-0.01929490792482143,single_maturity_ea_slope
2024-01-01,EE,PEPP,227.584,0.0,3.1520055631900004,-0.01929490792482143,single_maturity_ea_slope
2024-02-01,EE,PEPP,227.584,0.0,3.375942706325524,-0.01929490792482143,single_maturity_ea_slope
2024-03-01,EE,PEPP,227.584,0.0,3.41646197027845,-0.01929490792482143,single_maturity_ea_slope
2024-04-01,EE,PEPP,227.584,0.0,3.5445567396218576,-0.01929490792482143,single_maturity_ea_slope
2024-05-01,EE,PEPP,227.584,0.0,3.6436261416285003,-0.01929490792482143,single_maturity_ea_slope
2024-06-01,EE,PEPP,227.584,0.0,3.69532316005335,-0.01929490792482143,single_maturity_ea_slope
2024-07-01,EE,PEPP,227.584,0.0,3.696191977661782,-0.01929490792482143,single_maturity_ea_slope
2024-08-01,EE,PEPP,227.584,0.0,3.364970299058614,-0.01929490792482143,single_maturity_ea_slope
