ncb,month,stock_eur_m,approx_share,portfolio_yield_pct,ref_pct,carry_eur_m_pa,key_share,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned
ES,2019-01-01,229104.0,1.0,1.425874754234149,0.0,3266.7360969406045,0.118249,276.2590886130626,167.30879661190033
ES,2019-02-01,229842.66666666666,1.0,1.4249813793071926,0.0,3275.2152017030994,0.118249,276.9761437054943,167.84636072143374
ES,2019-03-01,230425.77777777775,1.0,1.4238521710942842,0.0,3280.9224396497793,0.118249,277.4587894738881,167.84557015809395
ES,2019-04-01,226672.88888888888,1.0,1.4238521710942842,0.0,3227.486849726579,0.118249,272.93988530360326,163.11125238238827
ES,2019-05-01,228109.3333333333,1.0,1.4194630449839896,0.0,3237.927688826012,0.118249,273.82283899449567,163.8708326696593
ES,2019-06-01,228478.22222222222,1.0,1.417756195067562,0.0,3239.2641499357865,0.118249,273.9358599172751,164.22949789365924
ES,2019-07-01,226763.55555555553,1.0,1.417756195067562,0.0,3214.954357044361,0.118249,271.88004609293614,162.1910437051345
ES,2019-08-01,227244.44444444444,1.0,1.414850155731743,0.0,3215.168376113956,0.118249,271.89814511022973,162.34344948885374
ES,2019-09-01,227600.0,1.0,1.4127671336522607,0.0,3215.4579961925456,0.118249,271.92263750158946,162.6809665359604
ES,2019-10-01,227080.0,1.0,1.4127671336522607,0.0,3208.1116070975536,0.118249,271.3013731276842,162.36184762670092
ES,2019-11-01,229709.3333333333,1.0,1.3998297581425196,0.0,3215.5396052307938,0.118249,271.9295389585361,162.8610537371967
ES,2019-12-01,230224.0,1.0,1.3974282746301088,0.0,3217.2152709844213,0.118249,272.0712455060441,162.90156129888976
ES,2020-01-01,230402.66666666666,1.0,1.3965877488611027,0.0,3217.77541571595,0.118249,272.1186154399572,163.1988288407769
ES,2020-02-01,232185.77777777775,1.0,1.3872566828378476,0.0,3221.012718821256,0.118249,272.3923854596027,163.50614513104784
ES,2020-03-01,238370.839,1.0,1.3637532012539646,0.0,3250.789947718434,0.118249,274.91056564693434,171.03414617913273
ES,2020-04-01,249184.15988888888,1.0,1.3364826145413395,0.0,3330.3029751058943,0.118249,281.63476859050763,173.8978099022549
ES,2020-05-01,265213.15466666664,1.0,1.294821528332408,0.0,3434.037022593526,0.118249,290.4072780821424,178.8271528222836
ES,2020-06-01,281931.0857777778,1.0,1.242323766641669,0.0,3502.496884168244,0.118249,296.19674451101014,188.6651515342736
ES,2020-07-01,289451.3457777777,1.0,1.2113111888408516,0.0,3506.1565376566436,0.118249,296.5062315670021,188.46157625165972
ES,2020-08-01,296612.9978888889,1.0,1.1871351461977715,0.0,3521.197146129854,0.118249,297.77817538667165,189.63040297612594
ES,2020-09-01,307157.89222222223,1.0,1.152775015209381,0.0,3540.8394387815365,0.118249,299.4392712650032,191.53388590276856
ES,2020-10-01,317652.1198888889,1.0,1.1175604461545614,0.0,3549.9544482496894,0.118249,300.2101031086681,193.4467700684692
ES,2020-11-01,327018.3475555555,1.0,1.086148849635144,0.0,3551.9060200705226,0.118249,300.37514229046525,195.17692684168375
ES,2020-12-01,334628.8407777777,1.0,1.0608433235421162,0.0,3549.887716037433,0.118249,300.204459744897,196.4110019712426
ES,2021-01-01,342094.4273333333,1.0,1.0378378526521927,0.0,3550.385458679082,0.118249,300.2465525018463,197.66177412970285
ES,2021-02-01,345480.92055555555,1.0,1.0214062250518328,0.0,3528.7636289208212,0.118249,298.41805249269095,196.54186423345314
ES,2021-03-01,353857.803,1.0,1.00188375196794,0.0,3545.243833327722,0.118249,299.8117390699052,198.20412968857556
ES,2021-04-01,364964.62,1.0,0.9787461632790335,0.0,3572.077215575904,0.118249,302.0809660611002,201.37537874957832
ES,2021-05-01,374770.95366666664,1.0,0.962995617761153,0.0,3609.027860451681,0.118249,305.20578275094766,203.91961446017768
ES,2021-06-01,384794.12344444444,1.0,0.9460225473919859,0.0,3640.2391688237963,0.118249,307.84523918373907,206.49504084010624
ES,2021-07-01,390199.63344444445,1.0,0.9278675327323243,0.0,3620.5357115715397,0.118249,306.1789707795871,205.13427024908214
ES,2021-08-01,397677.76800000004,1.0,0.9124156374185745,0.0,3628.4741417691603,0.118249,306.8503024777512,206.86663870302465
ES,2021-09-01,407119.5302222222,1.0,0.8958149885081369,0.0,3647.0377728745807,0.118249,308.4201788492571,208.73486198359439
ES,2021-10-01,416252.77966666664,1.0,0.8834178414328836,0.0,3677.2513210356433,0.118249,310.97525738362634,210.54127035383556
