ncb,month,stock_eur_m,approx_share,portfolio_yield_pct,ref_pct,carry_eur_m_pa,key_share,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned
LT,2022-09-01,8469.333333333332,1.0,0.12535613172885862,0.925,-67.72450468344387,0.005902,-114.74839831149417,61.40740369652765
LT,2022-10-01,8519.888888888889,1.0,0.12487157563963475,1.25,-95.85969161280939,0.005902,-162.41899629415346,101.27076568851501
LT,2022-11-01,8551.777777777777,1.0,0.1349218109317427,1.975,-157.359397666475,0.005902,-266.6204636843019,196.49518900220932
LT,2022-12-01,8582.555555555555,1.0,0.1446575272132799,2.177419354838709,-174.46291316807893,0.005902,-295.5996495562164,222.89936596343227
LT,2023-01-01,8690.666666666666,1.0,0.17841635137152642,2.5,-201.7610962901385,0.005902,-341.8520777535386,263.5491116056068
LT,2023-02-01,8740.777777777777,1.0,0.19385891277764952,2.875,-234.3525843428007,0.005902,-397.0731689983068,310.18064249579646
LT,2023-03-01,8793.777777777777,1.0,0.20990686135372727,3.161290322580645,-259.5381029503813,0.005902,-439.7460232978334,342.4865739821797
LT,2023-04-01,8689.666666666666,1.0,0.2103718279683809,3.5,-285.8577227223076,0.005902,-484.3404315864242,387.4734897976218
LT,2023-05-01,8724.11111111111,1.0,0.22057765357128575,3.6774193548387095,-301.57871095379363,0.005902,-510.9771449572918,408.2506737438712
LT,2023-06-01,8662.777777777777,1.0,0.220523920441701,3.8333333333333335,-312.96965097344014,0.005902,-530.2772805378518,429.5254574290402
LT,2023-07-01,8676.777777777777,1.0,0.22480059543169675,4.0,-327.5656630023815,0.005902,-555.0079007156581,436.6810961731278
LT,2023-08-01,8488.888888888889,1.0,0.2249957551109372,4.241935483870968,-340.9935503080737,0.005902,-577.7593193969394,478.3755666886443
LT,2023-09-01,8498.888888888889,1.0,0.22804072441514767,4.341666666666667,-349.6124981364652,0.005902,-592.3627552295242,486.83400858180505
LT,2023-10-01,8521.888888888889,1.0,0.23492011868024695,4.5,-363.4653685084234,0.005902,-615.8342401023777,495.36759273521864
LT,2023-11-01,8534.888888888889,1.0,0.23880241541306294,4.5,-363.6884791805122,0.005902,-616.2122656396343,492.32280799848695
LT,2023-12-01,8543.888888888889,1.0,0.24146083536153767,4.5,-363.84485451652733,0.005902,-616.4772187674132,491.9089996404416
LT,2024-01-01,8284.222222222223,1.0,0.24140040438720722,4.5,-352.7918540552207,0.005902,-597.749668002746,504.7212062300463
