month,ncb,programme,stock_eur_m,gross_purchases_eur_m,purchase_yield_pct,portfolio_yield_pct,yield_method
2024-11-01,LT,PEPP,3064.0,0.0,2.7062486213681543,0.7272949401691801,single_maturity_ea_slope
2024-12-01,LT,PEPP,3069.0,33.37037037037037,2.70193698185921,0.7487659523164919,single_maturity_ea_slope
2025-01-01,LT,PEPP,3069.0,28.703703703703702,2.677941846588012,0.7668091237930307,single_maturity_ea_slope
2025-02-01,LT,PEPP,3069.0,28.93099547511312,2.672481417895475,0.7847736062034987,single_maturity_ea_slope
2025-03-01,LT,PEPP,3068.0,28.195205479452053,2.5921074695252377,0.8013831725810503,single_maturity_ea_slope
2025-04-01,LT,PEPP,3068.0,29.45468509984639,2.523719079479525,0.8179186555581862,single_maturity_ea_slope
2025-05-01,LT,PEPP,2927.0,0.0,2.5537649138149523,0.8179186555581862,single_maturity_ea_slope
2025-06-01,LT,PEPP,2927.0,27.22284226190476,2.5672495289350477,0.8341884739489681,single_maturity_ea_slope
2025-07-01,LT,PEPP,2927.0,27.499060503570085,2.5384188498427656,0.8501996574879929,single_maturity_ea_slope
2025-08-01,LT,PEPP,2876.0,0.0,2.5397125566498095,0.8501996574879929,single_maturity_ea_slope
2025-09-01,LT,PEPP,2873.0,23.98948948948949,2.5344467119959995,0.864263084919884,single_maturity_ea_slope
2025-10-01,LT,PEPP,2746.0,0.0,2.5825339102217386,0.864263084919884,single_maturity_ea_slope
2025-11-01,LT,PEPP,2690.0,0.0,2.5954687730649,0.864263084919884,single_maturity_ea_slope
2025-12-01,LT,PEPP,2690.0,24.155890804597703,2.5939666374580947,0.8797956240051769,single_maturity_ea_slope
2026-01-01,LT,PEPP,2629.0,0.0,2.5991034376663413,0.8797956240051769,single_maturity_ea_slope
2026-02-01,LT,PEPP,2629.0,23.43137254901961,2.5904128340322914,0.8950417666970405,single_maturity_ea_slope
2026-03-01,LT,PEPP,2629.0,23.659107271418286,2.6387040950685914,0.9107334723159349,single_maturity_ea_slope
2026-04-01,LT,PEPP,2629.0,23.865286855482935,2.634397336076625,0.9263803846594417,single_maturity_ea_slope
2026-05-01,LT,PEPP,2629.0,24.101576824349102,2.6429623985933812,0.9421172934780513,single_maturity_ea_slope
2026-06-01,LT,PEPP,2559.0,0.0,2.6669943321255456,0.9421172934780513,single_maturity_ea_slope
2026-07-01,LT,PEPP,2559.0,23.179347826086957,2.6649128909317397,0.9577223260636825,single_maturity_ea_slope
2026-08-01,LT,PEPP,2511.0,0.0,2.6680323757013693,0.9577223260636825,single_maturity_ea_slope
