month,ncb,programme,wam_years
2016-04-01,IE,PSPP,9.47
2016-04-01,IT,PSPP,9.36
2016-04-01,LT,PSPP,6.59
2016-04-01,LU,PSPP,6.08
2016-04-01,LV,PSPP,5.37
2016-04-01,MT,PSPP,10.14
2016-04-01,NL,PSPP,7.1
2016-04-01,PT,PSPP,10.15
2016-04-01,SI,PSPP,8.01
2016-04-01,SK,PSPP,8.23
2016-05-01,AT,PSPP,8.69
2016-05-01,BE,PSPP,9.77
2016-05-01,CY,PSPP,5.35
2016-05-01,DE,PSPP,7.3
2016-05-01,EE,PSPP,2.12
2016-05-01,ES,PSPP,9.65
2016-05-01,FI,PSPP,7.57
2016-05-01,FR,PSPP,7.67
2016-05-01,IE,PSPP,9.37
2016-05-01,IT,PSPP,9.3
2016-05-01,LT,PSPP,6.56
2016-05-01,LU,PSPP,6.0
2016-05-01,LV,PSPP,5.64
2016-05-01,MT,PSPP,10.56
2016-05-01,NL,PSPP,7.39
2016-05-01,PT,PSPP,10.2
2016-05-01,SI,PSPP,8.31
2016-05-01,SK,PSPP,8.1
2016-06-01,AT,PSPP,8.91
2016-06-01,BE,PSPP,9.64
2016-06-01,CY,PSPP,5.27
2016-06-01,DE,PSPP,7.43
2016-06-01,EE,PSPP,2.03
2016-06-01,ES,PSPP,9.73
2016-06-01,FI,PSPP,7.52
2016-06-01,FR,PSPP,7.65
2016-06-01,IE,PSPP,9.37
2016-06-01,IT,PSPP,9.28
2016-06-01,LT,PSPP,6.61
2016-06-01,LU,PSPP,5.96
2016-06-01,LV,PSPP,6.61
2016-06-01,MT,PSPP,10.86
2016-06-01,NL,PSPP,7.56
2016-06-01,PT,PSPP,10.13
2016-06-01,SI,PSPP,8.27
2016-06-01,SK,PSPP,8.02
2016-07-01,AT,PSPP,9.1
2016-07-01,BE,PSPP,9.77
2016-07-01,CY,PSPP,5.18
2016-07-01,DE,PSPP,7.58
2016-07-01,EE,PSPP,1.95
2016-07-01,ES,PSPP,9.7
2016-07-01,FI,PSPP,7.53
2016-07-01,FR,PSPP,7.7
2016-07-01,IE,PSPP,9.3
2016-07-01,IT,PSPP,9.23
2016-07-01,LT,PSPP,6.49
2016-07-01,LU,PSPP,5.89
2016-07-01,LV,PSPP,6.55
2016-07-01,MT,PSPP,10.88
2016-07-01,NL,PSPP,7.7
2016-07-01,PT,PSPP,10.06
2016-07-01,SI,PSPP,8.22
2016-07-01,SK,PSPP,7.91
2016-08-01,AT,PSPP,9.22
2016-08-01,BE,PSPP,9.92
2016-08-01,CY,PSPP,5.1
2016-08-01,DE,PSPP,7.69
2016-08-01,EE,PSPP,1.86
2016-08-01,ES,PSPP,9.63
2016-08-01,FI,PSPP,7.56
2016-08-01,FR,PSPP,7.69
2016-08-01,IE,PSPP,9.24
2016-08-01,IT,PSPP,9.2
2016-08-01,LT,PSPP,6.41
2016-08-01,LU,PSPP,5.81
2016-08-01,LV,PSPP,6.58
2016-08-01,MT,PSPP,10.75
2016-08-01,NL,PSPP,7.75
2016-08-01,PT,PSPP,9.91
2016-08-01,SI,PSPP,8.25
2016-08-01,SK,PSPP,7.84
2016-09-01,AT,PSPP,9.3
2016-09-01,BE,PSPP,9.99
2016-09-01,CY,PSPP,5.08
2016-09-01,DE,PSPP,7.86
2016-09-01,EE,PSPP,1.78
2016-09-01,ES,PSPP,9.57
2016-09-01,FI,PSPP,7.6
2016-09-01,FR,PSPP,7.74
2016-09-01,IE,PSPP,9.39
2016-09-01,IT,PSPP,9.15
2016-09-01,LT,PSPP,6.39
2016-09-01,LU,PSPP,5.73
2016-09-01,LV,PSPP,6.57
2016-09-01,MT,PSPP,10.81
2016-09-01,NL,PSPP,7.89
2016-09-01,PT,PSPP,9.83
2016-09-01,SI,PSPP,8.41
2016-09-01,SK,PSPP,7.85
2016-10-01,AT,PSPP,9.37
2016-10-01,BE,PSPP,10.06
2016-10-01,CY,PSPP,5.0
2016-10-01,DE,PSPP,7.99
2016-10-01,EE,PSPP,1.7
2016-10-01,ES,PSPP,9.46
2016-10-01,FI,PSPP,7.64
2016-10-01,FR,PSPP,7.79
2016-10-01,IE,PSPP,9.34
2016-10-01,IT,PSPP,9.06
2016-10-01,LT,PSPP,6.59
2016-10-01,LU,PSPP,5.65
2016-10-01,LV,PSPP,7.31
2016-10-01,MT,PSPP,11.11
2016-10-01,NL,PSPP,8.0
2016-10-01,PT,PSPP,9.79
2016-10-01,SI,PSPP,8.55
2016-10-01,SK,PSPP,7.82
2016-11-01,AT,PSPP,9.31
2016-11-01,BE,PSPP,9.97
2016-11-01,CY,PSPP,4.92
2016-11-01,DE,PSPP,8.05
2016-11-01,EE,PSPP,1.61
2016-11-01,ES,PSPP,9.36
2016-11-01,FI,PSPP,7.44
2016-11-01,FR,PSPP,7.73
2016-11-01,IE,PSPP,9.19
2016-11-01,IT,PSPP,8.95
2016-11-01,LT,PSPP,6.6
2016-11-01,LU,PSPP,5.52
2016-11-01,LV,PSPP,7.29
2016-11-01,MT,PSPP,11.54
2016-11-01,NL,PSPP,8.01
2016-11-01,PT,PSPP,9.68
2016-11-01,SI,PSPP,8.7
2016-11-01,SK,PSPP,7.78
2016-12-01,AT,PSPP,9.23
2016-12-01,BE,PSPP,10.02
2016-12-01,CY,PSPP,4.83
2016-12-01,DE,PSPP,8.13
2016-12-01,EE,PSPP,1.53
2016-12-01,ES,PSPP,9.24
2016-12-01,FI,PSPP,7.35
2016-12-01,FR,PSPP,7.68
2016-12-01,IE,PSPP,9.16
2016-12-01,IT,PSPP,8.89
2016-12-01,LT,PSPP,6.57
2016-12-01,LU,PSPP,5.44
2016-12-01,LV,PSPP,7.23
2016-12-01,MT,PSPP,11.54
2016-12-01,NL,PSPP,7.99
2016-12-01,PT,PSPP,9.5
2016-12-01,SI,PSPP,8.87
2016-12-01,SK,PSPP,7.88
2017-01-01,AT,PSPP,9.25
2017-01-01,BE,PSPP,10.1
2017-01-01,CY,PSPP,4.75
2017-01-01,DE,PSPP,8.14
2017-01-01,EE,PSPP,1.44
2017-01-01,ES,PSPP,9.12
2017-01-01,FI,PSPP,7.38
2017-01-01,FR,PSPP,7.66
2017-01-01,IE,PSPP,9.06
2017-01-01,IT,PSPP,8.84
2017-01-01,LT,PSPP,6.68
2017-01-01,LU,PSPP,5.38
2017-01-01,LV,PSPP,7.5
2017-01-01,MT,PSPP,11.51
2017-01-01,NL,PSPP,7.98
2017-01-01,PT,PSPP,9.36
2017-01-01,SI,PSPP,8.88
2017-01-01,SK,PSPP,7.92
2017-02-01,AT,PSPP,9.3
2017-02-01,BE,PSPP,10.04
2017-02-01,CY,PSPP,4.67
2017-02-01,DE,PSPP,7.89
2017-02-01,EE,PSPP,1.37
2017-02-01,ES,PSPP,8.95
2017-02-01,FI,PSPP,7.28
2017-02-01,FR,PSPP,7.65
2017-02-01,IE,PSPP,9.03
2017-02-01,IT,PSPP,8.79
2017-02-01,LT,PSPP,6.69
2017-02-01,LU,PSPP,5.46
2017-02-01,LV,PSPP,7.48
2017-02-01,MT,PSPP,11.37
2017-02-01,NL,PSPP,7.93
2017-02-01,PT,PSPP,9.28
2017-02-01,SI,PSPP,8.89
2017-02-01,SK,PSPP,7.95
2017-03-01,AT,PSPP,9.31
2017-03-01,BE,PSPP,10.13
2017-03-01,CY,PSPP,4.59
2017-03-01,DE,PSPP,7.65
2017-03-01,EE,PSPP,1.28
2017-03-01,ES,PSPP,8.81
2017-03-01,FI,PSPP,7.25
2017-03-01,FR,PSPP,7.63
2017-03-01,IE,PSPP,8.92
2017-03-01,IT,PSPP,8.72
2017-03-01,LT,PSPP,6.78
2017-03-01,LU,PSPP,5.54
2017-03-01,LV,PSPP,7.65
2017-03-01,MT,PSPP,11.28
2017-03-01,NL,PSPP,7.82
2017-03-01,PT,PSPP,9.18
2017-03-01,SI,PSPP,9.19
2017-03-01,SK,PSPP,8.08
2017-04-01,AT,PSPP,9.34
2017-04-01,BE,PSPP,10.23
2017-04-01,CY,PSPP,4.5
2017-04-01,DE,PSPP,7.47
2017-04-01,EE,PSPP,1.2
2017-04-01,ES,PSPP,8.67
2017-04-01,FI,PSPP,7.37
2017-04-01,FR,PSPP,7.65
2017-04-01,IE,PSPP,8.83
2017-04-01,IT,PSPP,8.65
2017-04-01,LT,PSPP,6.77
2017-04-01,LU,PSPP,5.56
2017-04-01,LV,PSPP,7.7
2017-04-01,MT,PSPP,11.21
2017-04-01,NL,PSPP,7.82
2017-04-01,PT,PSPP,9.05
2017-04-01,SI,PSPP,9.18
2017-04-01,SK,PSPP,8.1
2017-05-01,AT,PSPP,9.3
2017-05-01,BE,PSPP,10.22
2017-05-01,CY,PSPP,4.42
2017-05-01,DE,PSPP,7.28
2017-05-01,EE,PSPP,1.12
2017-05-01,ES,PSPP,8.59
2017-05-01,FI,PSPP,7.35
2017-05-01,FR,PSPP,7.65
2017-05-01,IE,PSPP,8.76
2017-05-01,IT,PSPP,8.58
2017-05-01,LT,PSPP,6.77
2017-05-01,LU,PSPP,5.61
2017-05-01,LV,PSPP,7.63
2017-05-01,MT,PSPP,11.17
2017-05-01,NL,PSPP,7.74
2017-05-01,PT,PSPP,8.95
2017-05-01,SI,PSPP,9.28
2017-05-01,SK,PSPP,8.14
2017-06-01,AT,PSPP,9.23
2017-06-01,BE,PSPP,10.4
2017-06-01,CY,PSPP,4.69
2017-06-01,DE,PSPP,7.15
2017-06-01,EE,PSPP,1.03
